time,open,high,low,close,volume
2020-04-17 04:00,1.08664,1.08743,1.08638,1.08706,4069
2020-04-17 05:00,1.08705,1.08726,1.08635,1.08655,4573
2020-04-17 06:00,1.08655,1.08666,1.08453,1.08539,13560
2020-04-17 07:00,1.08540,1.08591,1.08199,1.08285,19851
2020-04-17 08:00,1.08287,1.08366,1.08173,1.08292,16935
2020-04-17 09:00,1.08292,1.08306,1.08152,1.08195,14576
2020-04-17 10:00,1.08195,1.08366,1.08119,1.08359,15486
2020-04-17 11:00,1.08359,1.08503,1.08339,1.08481,16747
2020-04-17 12:00,1.08481,1.08734,1.08437,1.08643,22045
2020-04-17 13:00,1.08644,1.08885,1.08602,1.08860,19937
2020-04-17 14:00,1.08860,1.08926,1.08717,1.08893,19972
2020-04-17 15:00,1.08891,1.08901,1.08736,1.08830,14978
2020-04-17 16:00,1.08831,1.08842,1.08593,1.08669,10695
2020-04-17 17:00,1.08671,1.08848,1.08668,1.08760,9760
2020-04-17 18:00,1.08759,1.08772,1.08659,1.08683,8771
2020-04-17 19:00,1.08683,1.08737,1.08641,1.08689,6208
2020-04-17 20:00,1.08689,1.08767,1.08644,1.08711,4213
2020-04-19 21:00,1.08748,1.08777,1.08634,1.08732,1076
2020-04-19 22:00,1.08716,1.08740,1.08649,1.08676,3378
2020-04-19 23:00,1.08675,1.08707,1.08634,1.08635,3137
2020-04-20 00:00,1.08635,1.08684,1.08563,1.08604,5335
2020-04-20 01:00,1.08605,1.08644,1.08580,1.08642,6064
2020-04-20 02:00,1.08643,1.08716,1.08619,1.08621,4709
2020-04-20 03:00,1.08620,1.08651,1.08590,1.08609,3758
2020-04-20 04:00,1.08610,1.08721,1.08609,1.08710,4919
2020-04-20 05:00,1.08712,1.08712,1.08527,1.08553,4718
2020-04-20 06:00,1.08553,1.08571,1.08411,1.08556,11614
2020-04-20 07:00,1.08555,1.08689,1.08515,1.08684,13315
2020-04-20 08:00,1.08682,1.08795,1.08593,1.08789,12454
2020-04-20 09:00,1.08790,1.08967,1.08778,1.08823,13738
2020-04-20 10:00,1.08824,1.08826,1.08577,1.08635,12641
2020-04-20 11:00,1.08636,1.08666,1.08512,1.08561,11156
2020-04-20 12:00,1.08561,1.08679,1.08497,1.08626,13184
2020-04-20 13:00,1.08625,1.08707,1.08501,1.08644,15469
2020-04-20 14:00,1.08644,1.08871,1.08614,1.08809,17847
2020-04-20 15:00,1.08808,1.08844,1.08687,1.08724,12931
2020-04-20 16:00,1.08725,1.08841,1.08693,1.08701,8660
2020-04-20 17:00,1.08701,1.08731,1.08627,1.08686,6480
2020-04-20 18:00,1.08685,1.08711,1.08579,1.08610,8189
2020-04-20 19:00,1.08610,1.08667,1.08566,1.08567,8896
2020-04-20 20:00,1.08568,1.08653,1.08551,1.08607,2034
2020-04-20 21:00,1.08611,1.08702,1.08595,1.08686,4352
2020-04-20 22:00,1.08685,1.08685,1.08620,1.08642,4398
2020-04-20 23:00,1.08642,1.08654,1.08605,1.08637,2809
2020-04-21 00:00,1.08636,1.08641,1.08534,1.08558,6106
2020-04-21 01:00,1.08559,1.08593,1.08455,1.08460,6092
2020-04-21 02:00,1.08459,1.08485,1.08257,1.08308,12063
2020-04-21 03:00,1.08309,1.08382,1.08296,1.08376,6798
2020-04-21 04:00,1.08375,1.08387,1.08298,1.08328,4690
2020-04-21 05:00,1.08329,1.08419,1.08283,1.08413,7319
2020-04-21 06:00,1.08413,1.08457,1.08358,1.08391,11940
2020-04-21 07:00,1.08392,1.08437,1.08266,1.08306,14713
2020-04-21 08:00,1.08304,1.08471,1.08201,1.08366,14357
2020-04-21 09:00,1.08367,1.08531,1.08303,1.08325,16965
2020-04-21 10:00,1.08325,1.08388,1.08229,1.08323,12480
2020-04-21 11:00,1.08323,1.08383,1.08254,1.08324,12330
2020-04-21 12:00,1.08322,1.08441,1.08245,1.08291,15403
2020-04-21 13:00,1.08291,1.08746,1.08165,1.08707,22211
2020-04-21 14:00,1.08709,1.08802,1.08434,1.08591,26488
2020-04-21 15:00,1.08590,1.08729,1.08533,1.08537,18158
2020-04-21 16:00,1.08538,1.08614,1.08436,1.08441,14911
2020-04-21 17:00,1.08440,1.08503,1.08416,1.08446,11811
2020-04-21 18:00,1.08445,1.08571,1.08416,1.08528,11308
2020-04-21 19:00,1.08528,1.08657,1.08504,1.08593,9452
2020-04-21 20:00,1.08592,1.08625,1.08559,1.08564,2456
2020-04-21 21:00,1.08563,1.08632,1.08557,1.08583,3018
2020-04-21 22:00,1.08583,1.08588,1.08527,1.08536,2131
2020-04-21 23:00,1.08540,1.08571,1.08524,1.08563,1928
2020-04-22 00:00,1.08563,1.08605,1.08491,1.08549,5593
2020-04-22 01:00,1.08550,1.08609,1.08475,1.08491,6154
2020-04-22 02:00,1.08490,1.08582,1.08466,1.08522,8079
2020-04-22 03:00,1.08523,1.08535,1.08482,1.08506,4163
2020-04-22 04:00,1.08506,1.08513,1.08449,1.08463,4100
2020-04-22 05:00,1.08463,1.08564,1.08453,1.08553,5378
2020-04-22 06:00,1.08553,1.08694,1.08510,1.08590,12975
2020-04-22 07:00,1.08590,1.08736,1.08531,1.08555,16470
2020-04-22 08:00,1.08556,1.08652,1.08513,1.08597,14382
2020-04-22 09:00,1.08597,1.08695,1.08589,1.08600,10940
2020-04-22 10:00,1.08600,1.08719,1.08573,1.08705,8473
2020-04-22 11:00,1.08705,1.08852,1.08672,1.08763,13076
